Parkname,State,Lat,Long,,Lat,Long
Acadia National Park,Maine,44.338974,-68.27343,,44.35,-68.21
American Samoa,American Samoa,,,,-14.25,-170.68
Arches National Park,Utah,,,,38.68,-109.57
Badlands National Park,South Dakota,,,,43.75,-102.5
Big Bend National Park,Texas,,,,29.25,103.25
Biscayne National Park,Florida,,,,25.65,-80.08
Black Canyon of the Gunnison National Park,Colorado,,,,38.57,-107.72
Bryce Canyon National Park,Utah,,,,37.57,-112.18
Canyonlands National Park,Utah,,,,38.2,-109.93
Capitol Reef National Park,Utah,,,,38.2,-111.17
Carlsbad Caverns National Park,New Mexico,,,,32.17,-104.44
Channel Islands National Park,California,,,,34.01,-119.42
Congaree National Park,South Carolina,,,,33.78,-80.78
Crater Lake National Park,Oregon,,,,42.94,-122.1
Cuyahoga Valley National Park,Ohio,,,,41.24,-81.55
Death Valley National Park,California,,,,36.24,-116.82
Death Valley National Park,Nevada,,,,36.24,-116.82
Denali National Park,Alaska,,,,63.33,-150.5
Dry Tortugas National Park,Florida,,,,24.63,-82.87
Everglades National Park,Florida,,,,25.32,-80.93
Gates of the Arctic National Park,Alaska,,,,67.78,-153.3
Gateway Arch National Park,Missouri,,,,38.63,-90.19
Glacier Bay National Park,Alaska,,,,58.5,-137
Glacier National Park,Montana,,,,48.8,-114
Grand Canyon National Park,Arizona,,,,36.06,-112.14
Grand Teton National Park,Wyoming,,,,43.73,-110.8
Great Basin National Park,Nevada,,,,38.98,-114.3
Great Sand Dunes National Park,Colorado,,,,37.73,-105.51
Great Smoky Mountains National Park,North Carolina,,,,35.68,-83.53
Great Smoky Mountains National Park,Tennessee,,,,35.68,-83.53
Guadalupe Mountains National Park,Texas,,,,31.92,-104.87
Haleakal? National Park,Hawaii,,,,20.72,-156.17
Hawai’i Volcanoes National Park,Hawaii,,,,19.38,-155.2
Hot Springs National Park,Arkansas,,,,34.51,-93.05
Indiana Dunes National Park,Indiana,,,,41.6533,-87.0524
Isle Royale National Park,Michigan,,,,48.1,-88.55
Joshua Tree National Park,California,,,,33.79,-115.9
Katmai National Park,Alaska,,,,58.5,-155
Kenai Fjords National Park,Alaska,,,,59.92,-149.65
Kings Canyon National Park,California,,,,36.8,-118.55
Kobuk Valley National Park,Alaska,,,,67.55,-159.28
Lake Clark National Park,Alaska,,,,60.97,-153.42
Lassen Volcanic National Park,California,,,,40.49,-121.51
Mammoth Cave National Park,Kentucky,,,,37.18,-86.1
Mesa Verde National Park,Colorado,,,,37.18,-108.49
Mount Rainier National Park,Washington,,,,46.85,-121.75
New River Gorge National Park,West Virginia,,,,38.07,-81.08
North Cascades National Park,Washington,,,,48.7,-121.2
Olympic National Park,Washington,,,,47.97,-123.5
Petrified Forest National Park,Arizona,,,,35.07,-109.78
Pinnacles National Park,California,,,,36.48,-121.16
Redwood National Park,California,,,,41.3,-124
Rocky Mountain National Park,Colorado,,,,40.4,-105.58
Saguaro National Park,Arizona,,,,32.25,-110.5
Sequoia National Park,California,,,,36.43,-118.68
Shenandoah National Park,Virginia,,,,38.53,-78.35
Theodore Roosevelt National Park,North Dakota,,,,46.97,-103.45
Virgin Islands National Park,Virgin Islands,,,,18.33,-64.73
Voyageurs National Park,Minnesota,,,,48.5,-92.88
White Sands National Park,New Mexico,,,,32.78,-106.17
Wind Cave National Park,South Dakota,,,,43.57,-103.48
Wrangell-St. Elias National Park,Alaska,,,,61,-142
Yellowstone National Park,"Idaho,  Montana and Wyoming",,,,44.6,-110.5
Yellowstone National Park,Montana,,,,44.6,-110.5
Yellowstone National Park,Wyoming,,,,44.6,-110.5
Yosemite National Park,California,,,,37.83,-119.5
Zion National Park,Utah,,,,37.3,-113.05
